
 A    |    8023244 |  175884037
 AFG  |   22664136 | 1438858917
 AG   |      65647 |           
 AL   |    3249136 |   15119647
 AMSA |      65628 |           
 AND  |      72766 |   97498564
 ANG  |   10342899 |   59862695
 ARM  |    3463574 |  141475505
 ARU  |     103065 |           
 AUS  |   18260863 |           
 AXA  |      14436 |           
 AZ   |    7676953 |  285440613
 B    |   10170241 |  157837469
 BD   |  123062800 |  998083319
 BDS  |     257030 |           
 BEN  |    5709529 |  128219343
 BERM |      67837 |           
 BF   |   10623323 |   61507037
 BG   |    8612757 |  104163608
 BHT  |    1822625 | 2162112650
 BI   |    5943057 |   82410368
 BIH  |    2656240 |   14188289
 BOL  |    7165257 |  241695023
 BR   |  162661214 |  135200805
 BRN  |     590042 |           
 BRU  |     299939 |   19962893
 BS   |     259367 |           
 BVIR |      24491 |           
 BY   |   10415973 |  243800084
 BZ   |     219296 |  107050076
 C    |   10951334 |           
 CAM  |   14261557 |  118295681
 CAYM |      49035 |           
 CDN  |   28820671 |  266476278
 CH   |    7207060 |  207368205
 CI   |   14762445 |   47496625
 CL   |   18553074 |           
 CO   |   36813161 |  223289195
 COCO |        596 |           
 COM  |     569237 |           
 COOK |      11870 |           
 CR   |    3463083 |    6927446
 CV   |     449066 |           
 CY   |     744609 |           
 CZ   |   10321120 |  135576286
 D    |   83536115 |  153915216
 DJI  |     427642 |   70238696
 DK   |    5249632 |   83536115
 DOM  |    8088881 |    6731539
 DZ   |   29183032 |   65569220
 E    |   39181114 |   68284095
 EAK  |   28176686 |  147575002
 EAT  |   29058470 |  144119660
 EAU  |   20158176 |  142134597
 EC   |   11466291 |   61336569
 ER   |    3427883 |   89146847
 ES   |    5828987 |   16882807
 ET   |   63575107 |   43228306
 ETH  |   57171662 |   73218905
 EW   |    1459428 |  150647469
 F    |   58317450 |  198075159
 FALK |       3140 |           
 FARX |      43857 |           
 FGU  |     151187 |  163097632
 FJI  |     782381 |           
 FL   |      31122 |   15230304
 FPOL |     287032 |           
 FSM  |     125377 |           
 G    |    1172798 |   17220680
 GAZA |     813332 |   68997102
 GB   |   58489975 |    3566833
 GBG  |      62920 |           
 GBJ  |      87848 |           
 GBM  |      73837 |           
 GBZ  |      28765 |   39181114
 GCA  |   11277614 |  107425938
 GE   |    5219810 |  221803492
 GH   |   17698271 |   29956298
 GNB  |    1151330 |   16504730
 GQ   |     431282 |   15434355
 GR   |   10538594 |   76450406
 GROX |      58203 |           
 GUAD |     407768 |           
 GUAM |     178430 |           
 GUY  |     712091 |  185080820
 H    |   10002541 |  100253671
 HCA  |    5605193 |   21378953
 HELX |       7637 |           
 HONX |    7055071 | 1210004956
 HR   |    5004112 |   22661743
 I    |   57460274 |   75524558
 IL   |    5421995 |   89413297
 IND  |  952107694 | 1532235699
 IR   |   66094264 |  251136376
 IRL  |    3566833 |   58489975
 IRQ  |   21422292 |  169758647
 IS   |     270292 |           
 J    |  125449703 |           
 JA   |    2595275 |           
 JOR  |    4212152 |   63289734
 K    |   10861218 |  137804102
 KAZ  |   16916463 | 1390280755
 KGZ  |    4529648 | 1256256173
 KIR  |      80919 |           
 KN   |      41369 |           
 KOS  |    1804838 |   16060930
 KWT  |    1950047 |   40831350
 L    |     415870 |  152023806
 LAO  |    4975772 | 1399670129
 LAR  |    5445436 |  149415215
 LB   |    2109789 |   26967547
 LS   |    1970781 |   41743459
 LT   |    3646041 |  199706007
 LV   |    2468982 |  163699929
 M    |     375576 |           
 MA   |   29779156 |   29405663
 MACX |     496837 | 1210004956
 MAL  |   19962893 |  265762896
 MART |     399151 |           
 MAYO |     223765 |           
 MC   |      31719 |   58317450
 MD   |    4463847 |   72521171
 MEX  |   95772462 |  277973188
 MH   |      58363 |           
 MK   |    2104035 |   31584664
 MNE  |     672180 |   17437425
 MNG  |    2496617 | 1358183443
 MNTS |       5097 |           
 MOC  |   17877927 |  101683889
 MS   |    1140256 |           
 MV   |     270758 |           
 MW   |    9452844 |   56095469
 MYA  |   45975625 | 2349002579
 N    |    4383807 |  162184671
 NA   |     227049 |      29820
 NAM  |    1677243 |   62723060
 NAU  |      10273 |           
 NCA  |     227436 |           
 NEP  |   22094033 | 2162112650
 NIC  |    4272352 |    9068276
 NIUE |       1398 |           
 NL   |   15568034 |   93706356
 NMIS |      88662 |           
 NOK  |   23904124 | 1403665734
 NORF |       2209 |           
 NZ   |    3547983 |           
 OM   |    2186548 |   35949573
 P    |    9865114 |   39181114
 PA   |    2655094 |   40276244
 PAL  |      16952 |           
 PE   |   24523408 |  232439181
 PITC |         48 |           
 PK   |  129275660 | 2250871050
 PL   |   38642565 |  312336107
 PNG  |    4394537 |  206611600
 PR   |    3971020 |           
 PY   |    5504146 |  204499468
 Q    |     547761 |   19409058
 R    |  148178487 | 1383204958
 RA   |   34672997 |  192902827
 RB   |    1477630 |   54692016
 RC   |   21465881 |           
 RCA  |    3274426 |  101812325
 RCB  |    2527841 |   75550219
 RCH  |   14333258 |   66361662
 REUN |     679198 |           
 RG   |    7411981 |   41562695
 RH   |    6731539 |    8088881
 RI   |  206611600 |   25489042
 RIM  |    2336048 |   48151673
 RL   |    3776317 |   21030643
 RM   |   13670507 |           
 RMM  |    9653261 |   82522579
 RN   |    9113001 |  171503915
 RO   |   21657162 |   81322493
 ROK  |   45482291 |   23904124
 ROU  |    3238952 |  197334211
 RP   |   74480848 |           
 RSA  |   41743459 |   35273625
 RSM  |      24521 |   57460274
 RT   |    4570530 |   34031123
 RWA  |    6853359 |  101658242
 S    |    8900954 |    9489037
 SA   |   19409058 |   46859315
 SD   |     998730 |   59621386
 SF   |    5105230 |  161463248
 SGP  |    3396924 |           
 SK   |    5374362 |  117853479
 SLB  |     412902 |           
 SLO  |    1951443 |   80490171
 SMAR |      29820 |     227049
 SME  |     436418 |  163524492
 SN   |    9092749 |   21757604
 SP   |    9639151 |   85775990
 SPMI |       6809 |           
 SRB  |    7379339 |   52513865
 STP  |     144128 |           
 SUD  |   31547543 |  234704760
 SVAX |       2116 |           
 SY   |      77575 |           
 SYR  |   15608648 |   97317234
 TAD  |    5916373 | 1260617121
 TCH  |    6976845 |  167554452
 THA  |   58851357 |   81775508
 TJ   | 1210004956 | 1462386138
 TL   |    1131612 |  206611600
 TM   |    4149283 |  129093244
 TN   |    9019687 |   34628468
